,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
1485,greendo01,http://www.basketball-reference.com/players/g/greendo01.html,Donte Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse University
1486,greenor01,http://www.basketball-reference.com/players/g/greenor01.html,Orien Greene,2006,2011,G,6-4,208,"February 4, 1982",University of Louisiana at Lafayette
1490,greerly01,http://www.basketball-reference.com/players/g/greerly01.html,Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple University
1497,griffad01,http://www.basketball-reference.com/players/g/griffad01.html,Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall University
1498,griffbl01,http://www.basketball-reference.com/players/g/griffbl01.html,Blake Griffin,2011,2017,F,6-10,251,"March 16, 1989",University of Oklahoma
1499,griffed01,http://www.basketball-reference.com/players/g/griffed01.html,Eddie Griffin,2002,2007,F-C,6-10,220,"May 30, 1982",Seton Hall University
1502,griffta01,http://www.basketball-reference.com/players/g/griffta01.html,Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986",University of Oklahoma
1513,grundan01,http://www.basketball-reference.com/players/g/grundan01.html,Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979",North Carolina State University
1526,gutiejo01,http://www.basketball-reference.com/players/g/gutiejo01.html,Jorge Gutierrez,2014,2016,G,6-3,191,"December 27, 1988",University of California
1529,haddaha01,http://www.basketball-reference.com/players/h/haddaha01.html,Hamed Haddadi,2009,2013,C,7-2,254,"May 19, 1985",
1539,hairsma01,http://www.basketball-reference.com/players/h/hairsma01.html,Malik Hairston,2009,2010,G,6-6,220,"February 23, 1987",University of Oregon
1540,hairspj02,http://www.basketball-reference.com/players/h/hairspj02.html,P.J. Hairston,2015,2016,G-F,6-6,230,"December 24, 1992",University of North Carolina
1541,haislma01,http://www.basketball-reference.com/players/h/haislma01.html,Marcus Haislip,2003,2010,F,6-10,230,"December 22, 1980",University of Tennessee
1548,hallmi01,http://www.basketball-reference.com/players/h/hallmi01.html,Mike Hall,2007,2007,F,6-8,230,"June 5, 1984",George Washington University
1555,hamiljo02,http://www.basketball-reference.com/players/h/hamiljo02.html,Jordan Hamilton,2012,2016,G-F,6-7,220,"October 6, 1990",University of Texas at Austin
1556,hamilju01,http://www.basketball-reference.com/players/h/hamilju01.html,Justin Hamilton,2014,2017,C,7-0,260,"April 1, 1990",Louisiana State University
1558,hamilri01,http://www.basketball-reference.com/players/h/hamilri01.html,Richard Hamilton,2000,2013,G-F,6-6,185,"February 14, 1978",University of Connecticut
1563,hamilze01,http://www.basketball-reference.com/players/h/hamilze01.html,Zendon Hamilton,2001,2006,C-F,6-11,250,"April 27, 1975",St. John's University
1576,hansbbe01,http://www.basketball-reference.com/players/h/hansbbe01.html,Ben Hansbrough,2013,2013,G,6-3,203,"December 23, 1987",University of Notre Dame
1577,hansbty01,http://www.basketball-reference.com/players/h/hansbty01.html,Tyler Hansbrough,2010,2016,F,6-9,250,"November 3, 1985",University of North Carolina
1584,haranlu01,http://www.basketball-reference.com/players/h/haranlu01.html,Luke Harangody,2011,2012,F,6-8,246,"January 2, 1988",University of Notre Dame
1585,hardaan01,http://www.basketball-reference.com/players/h/hardaan01.html,Anfernee Hardaway,1994,2008,G-F,6-7,195,"July 18, 1971",University of Memphis
1587,hardati02,http://www.basketball-reference.com/players/h/hardati02.html,Tim Hardaway,2014,2017,G,6-6,205,"March 16, 1992",University of Michigan
1588,hardeja01,http://www.basketball-reference.com/players/h/hardeja01.html,James Harden,2010,2017,G,6-5,220,"August 26, 1989",Arizona State University
1596,harklma01,http://www.basketball-reference.com/players/h/harklma01.html,Maurice Harkless,2013,2017,F-G,6-9,215,"May 11, 1993",St. John's University
1601,harpeju01,http://www.basketball-reference.com/players/h/harpeju01.html,Justin Harper,2012,2016,F,6-10,225,"August 30, 1989",University of Richmond
1604,harprma01,http://www.basketball-reference.com/players/h/harprma01.html,Matt Harpring,1999,2009,F,6-7,231,"May 31, 1976",Georgia Institute of Technology
1606,harrejo01,http://www.basketball-reference.com/players/h/harrejo01.html,Josh Harrellson,2012,2014,C,6-10,275,"February 12, 1989",University of Kentucky
1608,harrial01,http://www.basketball-reference.com/players/h/harrial01.html,Al Harrington,1999,2014,F,6-9,230,"February 17, 1980",
1609,harriju01,http://www.basketball-reference.com/players/h/harriju01.html,Junior Harrington,2003,2007,G,6-4,180,"October 2, 1980",Wingate University
1610,harriot01,http://www.basketball-reference.com/players/h/harriot01.html,Othella Harrington,1997,2008,F-C,6-9,235,"January 31, 1974",Georgetown University
1616,harride01,http://www.basketball-reference.com/players/h/harride01.html,Devin Harris,2005,2017,G,6-3,192,"February 27, 1983",University of Wisconsin
1617,harriel01,http://www.basketball-reference.com/players/h/harriel01.html,Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga University
1618,harriga01,http://www.basketball-reference.com/players/h/harriga01.html,Gary Harris,2015,2017,G,6-4,210,"September 14, 1994",Michigan State University
1619,harrijo01,http://www.basketball-reference.com/players/h/harrijo01.html,Joe Harris,2015,2017,G,6-6,219,"September 7, 1991",University of Virginia
1621,harrima01,http://www.basketball-reference.com/players/h/harrima01.html,Manny Harris,2011,2014,G,6-5,185,"September 21, 1989",University of Michigan
1622,harrimi01,http://www.basketball-reference.com/players/h/harrimi01.html,Mike Harris,2008,2014,F,6-6,240,"June 15, 1983",Rice University
1624,harrite01,http://www.basketball-reference.com/players/h/harrite01.html,Terrel Harris,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State University
1625,harrito02,http://www.basketball-reference.com/players/h/harrito02.html,Tobias Harris,2012,2017,F,6-9,235,"July 15, 1992",University of Tennessee
1630,harrida01,http://www.basketball-reference.com/players/h/harrida01.html,David Harrison,2005,2008,C,7-0,280,"August 15, 1982",University of Colorado
1631,hartja01,http://www.basketball-reference.com/players/h/hartja01.html,Jason Hart,2001,2010,G,6-3,185,"April 29, 1978",Syracuse University
1636,hasleud01,http://www.basketball-reference.com/players/h/hasleud01.html,Udonis Haslem,2004,2017,F-C,6-8,235,"June 9, 1980",University of Florida
1637,hassetr01,http://www.basketball-reference.com/players/h/hassetr01.html,Trenton Hassell,2002,2010,G,6-5,200,"March 4, 1979",Austin Peay State University
1644,hawessp01,http://www.basketball-reference.com/players/h/hawessp01.html,Spencer Hawes,2008,2017,C-F,7-1,245,"April 28, 1988",University of Washington
1654,hayesch01,http://www.basketball-reference.com/players/h/hayesch01.html,Chuck Hayes,2006,2016,F-C,6-6,240,"June 11, 1983",University of Kentucky
1656,hayesja01,http://www.basketball-reference.com/players/h/hayesja01.html,Jarvis Hayes,2004,2010,F,6-7,220,"August 9, 1981",University of Georgia
1659,haywago01,http://www.basketball-reference.com/players/h/haywago01.html,Gordon Hayward,2011,2017,F-G,6-8,226,"March 23, 1990",Butler University
1660,haywala01,http://www.basketball-reference.com/players/h/haywala01.html,Lazar Hayward,2011,2013,F,6-6,225,"November 26, 1986",Marquette University
1661,haywobr01,http://www.basketball-reference.com/players/h/haywobr01.html,Brendan Haywood,2002,2015,C,7-0,268,"November 27, 1979",University of North Carolina
1665,headlu01,http://www.basketball-reference.com/players/h/headlu01.html,Luther Head,2006,2011,G,6-3,185,"November 26, 1982",University of Illinois at Urbana-Champaign
1673,hendeal01,http://www.basketball-reference.com/players/h/hendeal01.html,Alan Henderson,1996,2007,F,6-9,235,"December 2, 1972",Indiana University
1678,hendege02,http://www.basketball-reference.com/players/h/hendege02.html,Gerald Henderson,2010,2017,G,6-5,215,"December 9, 1987",Duke University
1691,henryxa01,http://www.basketball-reference.com/players/h/henryxa01.html,Xavier Henry,2011,2015,G,6-6,220,"March 15, 1991",University of Kansas
1692,hensojo01,http://www.basketball-reference.com/players/h/hensojo01.html,John Henson,2013,2017,C-F,6-11,229,"December 28, 1990",University of North Carolina
1701,herrmwa01,http://www.basketball-reference.com/players/h/herrmwa01.html,Walter Herrmann,2007,2009,F,6-9,225,"June 26, 1979",
1710,hibbero01,http://www.basketball-reference.com/players/h/hibbero01.html,Roy Hibbert,2009,2017,C,7-2,270,"December 11, 1986",Georgetown University
1713,hicksjj01,http://www.basketball-reference.com/players/h/hicksjj01.html,J.J. Hickson,2009,2016,F-C,6-9,242,"September 4, 1988",North Carolina State University
1716,higgico01,http://www.basketball-reference.com/players/h/higgico01.html,Cory Higgins,2012,2013,G,6-5,180,"June 14, 1989",University of Colorado
1724,hilarne01,http://www.basketball-reference.com/players/h/hilarne01.html,Nene Hilario,2003,2017,F-C,6-11,250,"September 13, 1982",
1728,hillge01,http://www.basketball-reference.com/players/h/hillge01.html,George Hill,2009,2017,G,6-3,188,"May 4, 1986",Indiana University-Purdue University Indianapolis
1729,hillgr01,http://www.basketball-reference.com/players/h/hillgr01.html,Grant Hill,1995,2013,F-G,6-8,225,"October 5, 1972",Duke University
1730,hilljo01,http://www.basketball-reference.com/players/h/hilljo01.html,Jordan Hill,2010,2017,C-F,6-10,235,"July 27, 1987",University of Arizona
1732,hillso01,http://www.basketball-reference.com/players/h/hillso01.html,Solomon Hill,2014,2017,F,6-7,225,"March 18, 1991",University of Arizona
1733,hillst01,http://www.basketball-reference.com/players/h/hillst01.html,Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",University of Arkansas
1739,hinriki01,http://www.basketball-reference.com/players/h/hinriki01.html,Kirk Hinrich,2004,2016,G,6-4,190,"January 2, 1981",University of Kansas
1743,hitero01,http://www.basketball-reference.com/players/h/hitero01.html,Robert Hite,2007,2007,G,6-2,184,"January 12, 1984",University of Miami
1744,hobsoda01,http://www.basketball-reference.com/players/h/hobsoda01.html,Darington Hobson,2012,2012,G,6-7,210,"September 29, 1987",University of New Mexico
1746,hodgeju01,http://www.basketball-reference.com/players/h/hodgeju01.html,Julius Hodge,2006,2007,G,6-7,210,"November 18, 1983",North Carolina State University
1754,holcora01,http://www.basketball-reference.com/players/h/holcora01.html,Randy Holcomb,2006,2006,F,6-9,225,"August 8, 1979",San Diego State University
1755,holidjr01,http://www.basketball-reference.com/players/h/holidjr01.html,Jrue Holiday,2010,2017,G,6-4,205,"June 12, 1990","University of California, Los Angeles"
1756,holidju01,http://www.basketball-reference.com/players/h/holidju01.html,Justin Holiday,2013,2017,G,6-6,185,"April 5, 1989",University of Washington
1761,holliry01,http://www.basketball-reference.com/players/h/holliry01.html,Ryan Hollins,2007,2016,C,7-0,240,"October 10, 1984","University of California, Los Angeles"
1773,honeyty01,http://www.basketball-reference.com/players/h/honeyty01.html,Tyler Honeycutt,2012,2013,F,6-8,188,"July 15, 1990","University of California, Los Angeles"
1775,hoodro01,http://www.basketball-reference.com/players/h/hoodro01.html,Rodney Hood,2015,2017,G-F,6-8,206,"October 20, 1992",Duke University
1782,hopsosc01,http://www.basketball-reference.com/players/h/hopsosc01.html,Scotty Hopson,2014,2014,G,6-7,204,"August 8, 1989",University of Tennessee
1785,horfoal01,http://www.basketball-reference.com/players/h/horfoal01.html,Al Horford,2008,2017,C-F,6-10,245,"June 3, 1986",University of Florida
1789,hornede01,http://www.basketball-reference.com/players/h/hornede01.html,Dennis Horner,2012,2012,F,6-9,230,"February 5, 1988",North Carolina State University
1790,horryro01,http://www.basketball-reference.com/players/h/horryro01.html,Robert Horry,1993,2008,F,6-9,220,"August 25, 1970",University of Alabama
1795,houseed01,http://www.basketball-reference.com/players/h/houseed01.html,Eddie House,2001,2011,G,6-1,180,"May 14, 1978",Arizona State University
1800,howardw01,http://www.basketball-reference.com/players/h/howardw01.html,Dwight Howard,2005,2017,C,6-11,265,"December 8, 1985",
1802,howarjo01,http://www.basketball-reference.com/players/h/howarjo01.html,Josh Howard,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest University
1803,howarju01,http://www.basketball-reference.com/players/h/howarju01.html,Juwan Howard,1995,2013,F,6-9,240,"February 7, 1973",University of Michigan
1810,hudsole01,http://www.basketball-reference.com/players/h/hudsole01.html,Lester Hudson,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin
1812,hudsotr01,http://www.basketball-reference.com/players/h/hudsotr01.html,Troy Hudson,1998,2008,G,6-1,170,"March 13, 1976",Southern Illinois University
1819,hughela01,http://www.basketball-reference.com/players/h/hughela01.html,Larry Hughes,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis University
1821,hummero01,http://www.basketball-reference.com/players/h/hummero01.html,Robbie Hummel,2014,2015,F,6-8,215,"March 8, 1989",Purdue University
1825,humphkr01,http://www.basketball-reference.com/players/h/humphkr01.html,Kris Humphries,2005,2017,F-C,6-9,235,"February 6, 1985",University of Minnesota
1829,huntech01,http://www.basketball-reference.com/players/h/huntech01.html,Chris Hunter,2010,2010,F,6-11,240,"July 7, 1984",University of Michigan
1831,hunteli01,http://www.basketball-reference.com/players/h/hunteli01.html,Lindsey Hunter,1994,2010,G,6-2,170,"December 3, 1970",Jackson State University
1832,hunteot01,http://www.basketball-reference.com/players/h/hunteot01.html,Othello Hunter,2009,2010,F,6-8,225,"May 28, 1986",Ohio State University
1834,huntest01,http://www.basketball-reference.com/players/h/huntest01.html,Steven Hunter,2002,2010,C,7-0,220,"October 31, 1981",DePaul University
1843,ibakase01,http://www.basketball-reference.com/players/i/ibakase01.html,Serge Ibaka,2010,2017,F-C,6-10,235,"September 18, 1989",
1844,iguodan01,http://www.basketball-reference.com/players/i/iguodan01.html,Andre Iguodala,2005,2017,G-F,6-6,215,"January 28, 1984",University of Arizona
1845,ilgauzy01,http://www.basketball-reference.com/players/i/ilgauzy01.html,Zydrunas Ilgauskas,1998,2011,C,7-3,238,"June 5, 1975",
1846,ilicmi01,http://www.basketball-reference.com/players/i/ilicmi01.html,Mile Ilic,2007,2007,C,7-1,230,"June 2, 1984",
1847,mbengdj01,http://www.basketball-reference.com/players/m/mbengdj01.html,Didier Ilunga-Mbenga,2005,2011,C,7-0,245,"December 30, 1980",
1848,ilyaser01,http://www.basketball-reference.com/players/i/ilyaser01.html,Ersan Ilyasova,2007,2017,F,6-10,235,"May 15, 1987",
1851,inglejo01,http://www.basketball-reference.com/players/i/inglejo01.html,Joe Ingles,2015,2017,F-G,6-8,226,"October 2, 1987",
1858,irvinky01,http://www.basketball-reference.com/players/i/irvinky01.html,Kyrie Irving,2012,2017,G,6-3,193,"March 23, 1992",Duke University
1861,iversal01,http://www.basketball-reference.com/players/i/iversal01.html,Allen Iverson,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University
1863,iveyro01,http://www.basketball-reference.com/players/i/iveyro01.html,Royal Ivey,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin
1866,jackja01,http://www.basketball-reference.com/players/j/jackja01.html,Jarrett Jack,2006,2016,G,6-3,200,"October 28, 1983",Georgia Institute of Technology
1868,jacksbo01,http://www.basketball-reference.com/players/j/jacksbo01.html,Bobby Jackson,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota
1869,jacksce01,http://www.basketball-reference.com/players/j/jacksce01.html,Cedric Jackson,2010,2010,G,6-3,191,"March 5, 1986",Cleveland State University
1870,jacksda01,http://www.basketball-reference.com/players/j/jacksda01.html,Darnell Jackson,2009,2011,F,6-9,253,"November 7, 1985",University of Kansas
1874,jacksje01,http://www.basketball-reference.com/players/j/jacksje01.html,Jermaine Jackson,2000,2006,G,6-4,204,"June 7, 1976",University of Detroit Mercy
1875,jacksji01,http://www.basketball-reference.com/players/j/jacksji01.html,Jim Jackson,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University
1877,jackslu02,http://www.basketball-reference.com/players/j/jackslu02.html,Luke Jackson,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon
1878,jacksma02,http://www.basketball-reference.com/players/j/jacksma02.html,Marc Jackson,2001,2007,C,6-10,270,"January 16, 1975",Temple University
1888,jacksre01,http://www.basketball-reference.com/players/j/jacksre01.html,Reggie Jackson,2012,2017,G,6-3,208,"April 16, 1990",Boston College
1890,jacksst02,http://www.basketball-reference.com/players/j/jacksst02.html,Stephen Jackson,2001,2014,F-G,6-8,218,"April 5, 1978",Butler County Community College
1896,jacobca01,http://www.basketball-reference.com/players/j/jacobca01.html,Casey Jacobsen,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University
1900,jamesbe01,http://www.basketball-reference.com/players/j/jamesbe01.html,Bernard James,2013,2015,C,6-10,240,"February 7, 1985",Florida State University
1902,jamesda01,http://www.basketball-reference.com/players/j/jamesda01.html,Damion James,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin
1905,jamesje01,http://www.basketball-reference.com/players/j/jamesje01.html,Jerome James,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University
1906,jamesle01,http://www.basketball-reference.com/players/j/jamesle01.html,LeBron James,2004,2017,F-G,6-8,250,"December 30, 1984",
1907,jamesmi01,http://www.basketball-reference.com/players/j/jamesmi01.html,Mike James,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University
1909,jamisan01,http://www.basketball-reference.com/players/j/jamisan01.html,Antawn Jamison,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina
1913,jaricma01,http://www.basketball-reference.com/players/j/jaricma01.html,Marko Jaric,2003,2009,G,6-7,198,"October 12, 1978",
1916,jasiksa01,http://www.basketball-reference.com/players/j/jasiksa01.html,Sarunas Jasikevicius,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland
1917,jawaina01,http://www.basketball-reference.com/players/j/jawaina01.html,Nathan Jawai,2009,2010,C-F,6-10,280,"October 10, 1986",Midland College
1921,jeffeot01,http://www.basketball-reference.com/players/j/jeffeot01.html,Othyus Jeffers,2010,2014,G,6-5,200,"August 5, 1985",Robert Morris University (IL)
1922,jeffeal01,http://www.basketball-reference.com/players/j/jeffeal01.html,Al Jefferson,2005,2017,C-F,6-10,289,"January 4, 1985",
1923,jeffeco01,http://www.basketball-reference.com/players/j/jeffeco01.html,Cory Jefferson,2015,2016,F,6-9,218,"December 26, 1990",Baylor University
1924,jeffedo01,http://www.basketball-reference.com/players/j/jeffedo01.html,Dontell Jefferson,2009,2009,G,6-5,195,"December 15, 1983",University of Arkansas
1925,jefferi01,http://www.basketball-reference.com/players/j/jefferi01.html,Richard Jefferson,2002,2017,F,6-7,233,"June 21, 1980",University of Arizona
1926,jeffrja01,http://www.basketball-reference.com/players/j/jeffrja01.html,Jared Jeffries,2003,2013,F,6-11,230,"November 25, 1981",Indiana University
1927,jenkich01,http://www.basketball-reference.com/players/j/jenkich01.html,Charles Jenkins,2012,2013,G,6-3,220,"February 28, 1989",Hofstra University
1929,jenkijo01,http://www.basketball-reference.com/players/j/jenkijo01.html,John Jenkins,2013,2017,G,6-4,215,"March 6, 1991",Vanderbilt University
1930,jennibr01,http://www.basketball-reference.com/players/j/jennibr01.html,Brandon Jennings,2010,2017,G,6-1,170,"September 23, 1989",
1934,jerebjo01,http://www.basketball-reference.com/players/j/jerebjo01.html,Jonas Jerebko,2010,2017,F,6-10,231,"March 2, 1987",
1935,jerregr01,http://www.basketball-reference.com/players/j/jerregr01.html,Grant Jerrett,2015,2015,F,6-10,235,"July 8, 1993",University of Arizona
1936,jetereu01,http://www.basketball-reference.com/players/j/jetereu01.html,Eugene Jeter,2011,2011,G,5-11,175,"December 2, 1983",University of Portland
1938,jianlyi01,http://www.basketball-reference.com/players/j/jianlyi01.html,Yi Jianlian,2008,2012,F,7-0,240,"October 27, 1987",
1940,johnsal01,http://www.basketball-reference.com/players/j/johnsal01.html,Alexander Johnson,2007,2008,F,6-9,240,"February 8, 1983",Florida State University
1941,johnsam01,http://www.basketball-reference.com/players/j/johnsam01.html,Amir Johnson,2006,2017,F,6-9,240,"May 1, 1987",
1943,johnsan02,http://www.basketball-reference.com/players/j/johnsan02.html,Anthony Johnson,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston
1944,johnsar02,http://www.basketball-reference.com/players/j/johnsar02.html,Armon Johnson,2011,2012,G,6-3,195,"February 23, 1989","University of Nevada, Reno"
1948,johnsca01,http://www.basketball-reference.com/players/j/johnsca01.html,Carldell Johnson,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham
1951,johnsch03,http://www.basketball-reference.com/players/j/johnsch03.html,Chris Johnson,2011,2013,C,6-11,210,"July 15, 1985",Louisiana State University
1952,johnsch04,http://www.basketball-reference.com/players/j/johnsch04.html,Chris Johnson,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton
1959,johnsde03,http://www.basketball-reference.com/players/j/johnsde03.html,DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",University of Cincinnati
1964,johnser02,http://www.basketball-reference.com/players/j/johnser02.html,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",University of New Orleans
1971,johnsiv01,http://www.basketball-reference.com/players/j/johnsiv01.html,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984",University of Oregon
1972,johnsja02,http://www.basketball-reference.com/players/j/johnsja02.html,JaJuan Johnson,2012,2012,F-C,6-10,221,"February 8, 1989",Purdue University
1973,johnsja01,http://www.basketball-reference.com/players/j/johnsja01.html,James Johnson,2010,2017,F,6-9,250,"February 20, 1987",Wake Forest University
1974,johnsjo02,http://www.basketball-reference.com/players/j/johnsjo02.html,Joe Johnson,2002,2017,G-F,6-7,240,"June 29, 1981",University of Arkansas
1983,johnsli01,http://www.basketball-reference.com/players/j/johnsli01.html,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane University
1988,johnsni01,http://www.basketball-reference.com/players/j/johnsni01.html,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",University of Arizona
1990,johnsor01,http://www.basketball-reference.com/players/j/johnsor01.html,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","University of California, Santa Barbara"
1999,johnstr01,http://www.basketball-reference.com/players/j/johnstr01.html,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984",Jackson State University
2000,johnsty01,http://www.basketball-reference.com/players/j/johnsty01.html,Tyler Johnson,2015,2017,G,6-4,186,"May 7, 1992","California State University, Fresno"
2002,johnswe01,http://www.basketball-reference.com/players/j/johnswe01.html,Wesley Johnson,2011,2017,F-G,6-7,215,"July 11, 1987",Syracuse University
2003,johnsda03,http://www.basketball-reference.com/players/j/johnsda03.html,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette University
2014,jonesbo02,http://www.basketball-reference.com/players/j/jonesbo02.html,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",University of Washington
2020,jonesda02,http://www.basketball-reference.com/players/j/jonesda02.html,Dahntay Jones,2004,2016,G-F,6-6,225,"December 27, 1980",Duke University
2022,jonesda01,http://www.basketball-reference.com/players/j/jonesda01.html,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",University of Houston
2023,jonesde01,http://www.basketball-reference.com/players/j/jonesde01.html,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",University of Miami
2025,jonesdo02,http://www.basketball-reference.com/players/j/jonesdo02.html,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",University of South Florida
2027,jonesdw02,http://www.basketball-reference.com/players/j/jonesdw02.html,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's University
2030,jonesed02,http://www.basketball-reference.com/players/j/jonesed02.html,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple University
2032,jonesfr01,http://www.basketball-reference.com/players/j/jonesfr01.html,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",University of Oregon
2035,jonesja02,http://www.basketball-reference.com/players/j/jonesja02.html,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",University of Miami
2038,jonesju01,http://www.basketball-reference.com/players/j/jonesju01.html,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",University of Georgia
2040,joneske01,http://www.basketball-reference.com/players/j/joneske01.html,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia University
2047,jonespe01,http://www.basketball-reference.com/players/j/jonespe01.html,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor University
2053,jonesso01,http://www.basketball-reference.com/players/j/jonesso01.html,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",University of South Florida
2055,joneste01,http://www.basketball-reference.com/players/j/joneste01.html,Terrence Jones,2013,2017,F,6-9,252,"January 9, 1992",University of Kentucky
2063,jordade01,http://www.basketball-reference.com/players/j/jordade01.html,DeAndre Jordan,2009,2017,C,6-11,265,"July 21, 1988",Texas A&M University
2065,jordaje01,http://www.basketball-reference.com/players/j/jordaje01.html,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",University of Tulsa
2074,josepco01,http://www.basketball-reference.com/players/j/josepco01.html,Cory Joseph,2012,2017,G,6-3,193,"August 20, 1991",University of Texas at Austin
2076,josepkr01,http://www.basketball-reference.com/players/j/josepkr01.html,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse University
2084,kamanch01,http://www.basketball-reference.com/players/k/kamanch01.html,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
2086,kanteen01,http://www.basketball-reference.com/players/k/kanteen01.html,Enes Kanter,2012,2017,C,6-11,245,"May 20, 1992",
2088,kaponja01,http://www.basketball-reference.com/players/k/kaponja01.html,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles"
2090,karasse01,http://www.basketball-reference.com/players/k/karasse01.html,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",
2091,karlco01,http://www.basketball-reference.com/players/k/karlco01.html,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State University
2094,kasunma01,http://www.basketball-reference.com/players/k/kasunma01.html,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
2111,kellyry01,http://www.basketball-reference.com/players/k/kellyry01.html,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke University
2118,kennedj01,http://www.basketball-reference.com/players/k/kennedj01.html,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's University
2134,khryavi01,http://www.basketball-reference.com/players/k/khryavi01.html,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",
2135,kiddja01,http://www.basketball-reference.com/players/k/kiddja01.html,Jason Kidd,1995,2013,G,6-4,205,"March 23, 1973",University of California
2137,kiddgmi01,http://www.basketball-reference.com/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,2013,2017,F,6-7,232,"September 26, 1993",University of Kentucky
2142,kilpase01,http://www.basketball-reference.com/players/k/kilpase01.html,Sean Kilpatrick,2015,2017,G,6-4,210,"January 6, 1990",University of Cincinnati
2164,kinseta01,http://www.basketball-reference.com/players/k/kinseta01.html,Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",University of South Carolina
2165,kirilan01,http://www.basketball-reference.com/players/k/kirilan01.html,Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",
2166,kirkal01,http://www.basketball-reference.com/players/k/kirkal01.html,Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",University of New Mexico
2175,kleizli01,http://www.basketball-reference.com/players/k/kleizli01.html,Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",University of Missouri
2183,knighbr03,http://www.basketball-reference.com/players/k/knighbr03.html,Brandon Knight,2012,2017,G,6-3,189,"December 2, 1991",University of Kentucky
2184,knighbr01,http://www.basketball-reference.com/players/k/knighbr01.html,Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford University
2201,korolya01,http://www.basketball-reference.com/players/k/korolya01.html,Yaroslav Korolev,2006,2007,F,6-9,203,"May 7, 1987",
2202,korveky01,http://www.basketball-reference.com/players/k/korveky01.html,Kyle Korver,2004,2017,G-F,6-7,212,"March 17, 1981",Creighton University
